"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Comoros","COM","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.1551466","4.11416817","6.71070385","6.68447351","6.75574207","5.42005444","5.18173981","4.33239889","2.86453962","2.77465606","2.83923602","7.23844337","5.35224819","4.449965","3.81965494","2.44571519","3.03607512","3.58549595","3.99391246","4.13345671","6.88908243","4.73731661","4.73731661","4.73731661","","",
"Cabo Verde","CPV","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.50158787","11.17305183","9.50427818","11.36700153","9.63142586","8.80299091","8.92111492","10.09019661","8.10848808","8.31165504","7.22675228","8.60777664","8.86496925","9.02955627","9.98307133","10.09395409","10.39242458","9.12374878","11.26552677","11.78346062","13.44707775","14.88970947","16.06422043","13.78944969","","",
"Costa Rica","CRI","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.26477432","24.56128693","24.75807571","26.33198166","25.73747253","26.82588387","30.26260757","31.73869324","33.36737442","33.47280121","32.18240356","33.18463135","31.73282051","29.45259285","29.58094978","29.42484665","28.60595512","27.0343132","27.91470909","24.15332603","25.20714569","25.77289963","25.81614685","24.90729523","","",
"Caribbean small states","CSS","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.80231476","11.39179516","11.1904707","10.89082336","10.32092667","11.66760921","11.20564365","14.48143005","13.17769623","14.93230438","13.86582184","15.09354115","11.49459648","14.14057541","18.02447128","18.2455864","17.30282402","15.51221848","14.9355917","15.51629925","16.43104172","21.48275948","21.03963661","19.97772026","","",
"Curacao","CUW","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.98569632","6.01684713","6.40096903","5.77545786","5.45835018","5.43130541","5.7055769","5.76537752","6.13280582","6.12379742","6.68294668","6.78436708","5.50081444","6.81208611","5.65165424","6.62951279","7.05495596","7.13075686","6.44311953","9.41559982","13.52484608","16.323246","16.59008026","14.85917091","","",
"Czechia","CZE","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.38825798","11.83805084","12.18289185","11.61948967","13.14472771","12.75457001","12.71145344","12.40300465","12.54553795","13.54469585","14.69500732","14.7419138","14.37806797","14.84314823","14.96242809","14.75402832","15.71584797","15.91202831","15.55631256","15.68214798","17.06226158","17.58826828","16.7036171","16.18020439","","",
"Germany","DEU","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.93891239","16.10756302","16.24415779","16.38513756","16.17985725","16.38726044","16.62315369","17.06708717","17.08940506","17.26641083","17.12050629","17.61068344","17.81566429","18.26494598","18.72784805","18.99507332","19.07775879","19.37729454","19.4917202","19.52608109","19.31024361","19.96162605","20.44145393","19.20581627","","",
